file_path,directory,topic,relevance,language,format_quality,summary,action
RAG+Memory/系统挑战.md,RAG+Memory,rag-challenges,partial,zh,好,从技术与架构、知识数据、组织三方面归纳 KB/RAG 建设挑战,保留+frontmatter
RAG+Memory/金融kb.md,RAG+Memory,finance-domain,irrelevant,zh,一般,金融业务知识库六大类内容域清单,保留+frontmatter
Anomaly detection - sharkAI/00-时序预测(主页).md,archive/empty_pages,index-placeholder,irrelevant,zh,差,Confluence 父页面占位空壳,移至 archive/empty_pages/
Anomaly detection - sharkAI/01-TD V0.1.md,Anomaly detection - sharkAI,shark-ai-system-design-v0.1,core,zh,一般,V0.1系统设计：数据ETL(Flink/HTTP)、Prometheus集成、数据回写、后端管理、算法模块,保留+frontmatter
Anomaly detection - sharkAI/02-时序异常检测&时序预测-调研.md,Anomaly detection - sharkAI,anomaly-detection-algorithm-research,core,zh,一般,算法调研：30种经典异常检测算法、异常类型特征、判断原理、架构设计、API使用示例,保留+frontmatter+清理无关内容
Anomaly detection - sharkAI/03-时序异常检测&时序预测-系统设计.md,Anomaly detection - sharkAI,anomaly-detection-system-design,core,zh,一般,系统设计：业内调研(国内外公司/ByteBrain)、内部系统模块、算法工厂策略模式、数据处理,保留+frontmatter+清理无关QA
Anomaly detection - sharkAI/04-时序异常检测&时序预测-应用.md,Anomaly detection - sharkAI,anomaly-detection-model-application,core,zh,好,模型应用：异常检测6种方法、Ensemble/模型选择器/自适应方案、时序预测模型组成与代表性模型,保留+frontmatter
Anomaly detection - sharkAI/05-时序异常检测&时序预测-服务使用案例.md,Anomaly detection - sharkAI,shark-ai-api-reference,core,zh,好,API参考：token获取、模型探索、模型状态、异常检测、子类型检测、窗口洞察、算法分类表,保留+frontmatter
Anomaly detection - sharkAI/06-Shark Service 使用手册.md,archive,shark-service-manual-old,irrelevant,zh,一般,旧版使用手册（已被V202502版本取代）,移至 archive/
Anomaly detection - sharkAI/07-Shark Service 系统设计.md,Anomaly detection - sharkAI,shark-service-system-design,core,zh,好,系统设计：架构组件、元数据管理(MySQL)、数据回写(InfluxDB协议)、异常点剔除、算法回放,保留+frontmatter
Anomaly detection - sharkAI/08-时序异常检测&时序预测.md,Anomaly detection - sharkAI,shark-ai-platform-overview,core,zh,好,平台介绍：智能算法、开箱即用、模型自适应反馈、模型选择器/融合ensemble方案、资源使用,保留+frontmatter
Anomaly detection - sharkAI/09-show demo.md,Anomaly detection - sharkAI,shark-service-demo,partial,en,一般,演示步骤：创建job、配置grafana、preview/release流程、监控面板datasource映射表,保留+frontmatter
Anomaly detection - sharkAI/10-Shark Service 使用手册[V202502].md,Anomaly detection - sharkAI,shark-service-user-manual-v202502,core,zh,好,最新使用手册：首页/列表/Create/Preview/Release页面、异常检测配置、案例分析,保留+frontmatter
Anomaly detection - sharkAI/11-Shark-AI 异常检测平台-业务接入SOP.md,Anomaly detection - sharkAI,shark-ai-integration-sop,core,zh,好,业务接入SOP：适用范围、接入准备、方向配置、检测策略、API快速开始、SLO评估口径、FAQ,保留+frontmatter
Anomaly detection - sharkAI/12-时序预测-稀疏数据不可用解决方案.md,Anomaly detection - sharkAI,sparse-data-detection-algorithm,core,zh,好,稀疏数据方案：SparseGaussianTailDetector高斯尾概率检测+稠密度检验算法原理与流程,保留+frontmatter
Anomaly detection - sharkAI/13-时序预测-复杂时序监督模型解决方案.md,Anomaly detection - sharkAI,supervised-model-complex-timeseries,core,zh,一般,监督模型方案：XGB多尺度斜率特征(28维7类)架构；数据采集/训练/线上效果章节为TODO,保留+frontmatter
Anomaly detection - sharkAI/14-时序预测-部分业务问题的解决方案.md,Anomaly detection - sharkAI,business-problem-solutions,core,zh,一般,业务方案：路由模型(周期/稀疏/稳定性)、时间窗口映射、接入效果评估、代办事项,保留+frontmatter
Anomaly detection - sharkAI/15-时序预测-多维度时序交互.md,Anomaly detection - sharkAI,multi-dimension-timeseries,core,zh,一般,多维度功能：多维度接入/可视化/告警模块设计,保留+frontmatter
